A Bayesian Data Augmentation Approach for Learning Deep Models,"Toan Tran, Trung Pham, Gustavo Carneiro, Lyle Palmer, Ian Reid",https://proceedings.neurips.cc/paper/2017/hash/076023edc9187cf1ac1f1163470e479a-Abstract.html
Deep Hyperalignment,"Muhammad Yousefnezhad, Daoqiang Zhang",https://proceedings.neurips.cc/paper/2017/hash/0768281a05da9f27df178b5c39a51263-Abstract.html
Best of Both Worlds: Transferring Knowledge from Discriminative Learning to a Generative Visual Dialog Model,"Jiasen Lu, Anitha Kannan, Jianwei Yang, Devi Parikh, Dhruv Batra",https://proceedings.neurips.cc/paper/2017/hash/077e29b11be80ab57e1a2ecabb7da330-Abstract.html
PASS-GLM: polynomial approximate sufficient statistics for scalable Bayesian GLM inference,"Jonathan Huggins, Ryan P. Adams, Tamara Broderick",https://proceedings.neurips.cc/paper/2017/hash/07811dc6c422334ce36a09ff5cd6fe71-Abstract.html
Online multiclass boosting,"Young Hun Jung, Jack Goetz, Ambuj Tewari",https://proceedings.neurips.cc/paper/2017/hash/08b255a5d42b89b0585260b6f2360bdd-Abstract.html
State Aware Imitation Learning,"Yannick Schroecker, Charles L. Isbell",https://proceedings.neurips.cc/paper/2017/hash/08e6bea8e90ba87af3c9554d94db6579-Abstract.html
Adaptive SVRG Methods under Error Bound Conditions with Unknown Growth Parameter,"Yi Xu, Qihang Lin, Tianbao Yang",https://proceedings.neurips.cc/paper/2017/hash/09fb05dd477d4ae6479985ca56c5a12d-Abstract.html
Unsupervised Learning of Disentangled and Interpretable Representations from Sequential Data,"Wei-Ning Hsu, Yu Zhang, James Glass",https://proceedings.neurips.cc/paper/2017/hash/0a0a0c8aaa00ade50f74a3f0ca981ed7-Abstract.html
Recurrent Ladder Networks,"Isabeau Prémont-Schwarz, Alexander Ilin, Tele Hao, Antti Rasmus, Rinu Boney, Harri Valpola",https://proceedings.neurips.cc/paper/2017/hash/0a5c79b1eaf15445da252ada718857e9-Abstract.html
Distral: Robust multitask reinforcement learning,"Yee Teh, Victor Bapst, Wojciech M. Czarnecki, John Quan, James Kirkpatrick, Raia Hadsell, Nicolas Heess, Razvan Pascanu",https://proceedings.neurips.cc/paper/2017/hash/0abdc563a06105aee3c6136871c9f4d1-Abstract.html
Real-Time Bidding with Side Information,"arthur flajolet, Patrick Jaillet",https://proceedings.neurips.cc/paper/2017/hash/0bed45bd5774ffddc95ffe500024f628-Abstract.html
Learning Spherical Convolution for Fast Features from 360° Imagery,"Yu-Chuan Su, Kristen Grauman",https://proceedings.neurips.cc/paper/2017/hash/0c74b7f78409a4022a2c4c5a5ca3ee19-Abstract.html
Approximate Supermodularity Bounds for Experimental Design,"Luiz Chamon, Alejandro Ribeiro",https://proceedings.neurips.cc/paper/2017/hash/0d9095b0d6bbe98ea0c9c02b11b59ee3-Abstract.html
Differentiable Learning of Logical Rules for Knowledge Base Reasoning,"Fan Yang, Zhilin Yang, William W. Cohen",https://proceedings.neurips.cc/paper/2017/hash/0e55666a4ad822e0e34299df3591d979-Abstract.html
When Cyclic Coordinate Descent Outperforms Randomized Coordinate Descent,"Mert Gurbuzbalaban, Asuman Ozdaglar, Pablo A. Parrilo, Nuri Vanli",https://proceedings.neurips.cc/paper/2017/hash/0e7c7d6c41c76b9ee6445ae01cc0181d-Abstract.html
Principles of Riemannian Geometry  in Neural Networks,"Michael Hauser, Asok Ray",https://proceedings.neurips.cc/paper/2017/hash/0ebcc77dc72360d0eb8e9504c78d38bd-Abstract.html
Continual Learning with Deep Generative Replay,"Hanul Shin, Jung Kwon Lee, Jaehong Kim, Jiwon Kim",https://proceedings.neurips.cc/paper/2017/hash/0efbe98067c6c73dba1250d2beaa81f9-Abstract.html
Nonlinear random matrix theory for deep learning,"Jeffrey Pennington, Pratik Worah",https://proceedings.neurips.cc/paper/2017/hash/0f3d014eead934bbdbacb62a01dc4831-Abstract.html
Identification of Gaussian Process State Space Models,"Stefanos Eleftheriadis, Tom Nicholson, Marc Deisenroth, James Hensman",https://proceedings.neurips.cc/paper/2017/hash/1006ff12c465532f8c574aeaa4461b16-Abstract.html
Estimation of the covariance structure of heavy-tailed distributions,"Xiaohan Wei, Stanislav Minsker",https://proceedings.neurips.cc/paper/2017/hash/10c272d06794d3e5785d5e7c5356e9ff-Abstract.html
Robust Optimization for Non-Convex Objectives,"Robert S. Chen, Brendan Lucier, Yaron Singer, Vasilis Syrgkanis",https://proceedings.neurips.cc/paper/2017/hash/10c66082c124f8afe3df4886f5e516e0-Abstract.html
Exploring Generalization in Deep Learning,"Behnam Neyshabur, Srinadh Bhojanapalli, David Mcallester, Nati Srebro",https://proceedings.neurips.cc/paper/2017/hash/10ce03a1ed01077e3e289f3e53c72813-Abstract.html
Spherical convolutions and their application in molecular modelling,"Wouter Boomsma, Jes Frellsen",https://proceedings.neurips.cc/paper/2017/hash/1113d7a76ffceca1bb350bfe145467c6-Abstract.html
Safe Adaptive Importance Sampling,"Sebastian U. Stich, Anant Raj, Martin Jaggi",https://proceedings.neurips.cc/paper/2017/hash/1177967c7957072da3dc1db4ceb30e7a-Abstract.html
Introspective Classification with Convolutional Nets,"Long Jin, Justin Lazarow, Zhuowen Tu",https://proceedings.neurips.cc/paper/2017/hash/11b921ef080f7736089c757404650e40-Abstract.html
Hybrid Reward Architecture for Reinforcement Learning,"Harm Van Seijen, Mehdi Fatemi, Joshua Romoff, Romain Laroche, Tavian Barnes, Jeffrey Tsang",https://proceedings.neurips.cc/paper/2017/hash/1264a061d82a2edae1574b07249800d6-Abstract.html
When Worlds Collide: Integrating Different Counterfactual Assumptions in Fairness,"Chris Russell, Matt J. Kusner, Joshua Loftus, Ricardo Silva",https://proceedings.neurips.cc/paper/2017/hash/1271a7029c9df08643b631b02cf9e116-Abstract.html
Dualing GANs,"Yujia Li, Alexander Schwing, Kuan-Chieh Wang, Richard Zemel",https://proceedings.neurips.cc/paper/2017/hash/12a1d073d5ed3fa12169c67c4e2ce415-Abstract.html
A Universal Analysis of Large-Scale Regularized Least Squares Solutions,"Ashkan Panahi, Babak Hassibi",https://proceedings.neurips.cc/paper/2017/hash/136f951362dab62e64eb8e841183c2a9-Abstract.html
Diffusion Approximations for Online Principal Component Estimation and Global Convergence,"Chris Junchi Li, Mengdi Wang, Han Liu, Tong Zhang",https://proceedings.neurips.cc/paper/2017/hash/13f3cf8c531952d72e5847c4183e6910-Abstract.html
k-Support and Ordered Weighted Sparsity for Overlapping Groups: Hardness and Algorithms,"Cong Han Lim, Stephen Wright",https://proceedings.neurips.cc/paper/2017/hash/13fe9d84310e77f13a6d184dbf1232f3-Abstract.html
Learning to Model the Tail,"Yu-Xiong Wang, Deva Ramanan, Martial Hebert",https://proceedings.neurips.cc/paper/2017/hash/147ebe637038ca50a1265abac8dea181-Abstract.html
