Quartz: Randomized Dual Coordinate Ascent with Arbitrary Sampling,"Zheng Qu, Peter Richtarik, Tong Zhang",https://proceedings.neurips.cc/paper/2015/hash/01f78be6f7cad02658508fe4616098a9-Abstract.html
Associative Memory via a Sparse Recovery Model,"Arya Mazumdar, Ankit Singh Rawat",https://proceedings.neurips.cc/paper/2015/hash/020c8bfac8de160d4c5543b96d1fdede-Abstract.html
Policy Gradient for Coherent Risk Measures,"Aviv Tamar, Yinlam Chow, Mohammad Ghavamzadeh, Shie Mannor",https://proceedings.neurips.cc/paper/2015/hash/024d7f84fff11dd7e8d9c510137a2381-Abstract.html
"A fast, universal algorithm to learn parametric nonlinear embeddings","Miguel A. Carreira-Perpinan, Max Vladymyrov",https://proceedings.neurips.cc/paper/2015/hash/02522a2b2726fb0a03bb19f2d8d9524d-Abstract.html
Stochastic Online Greedy Learning with Semi-bandit Feedbacks,"Tian Lin, Jian Li, Wei Chen",https://proceedings.neurips.cc/paper/2015/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
SubmodBoxes: Near-Optimal Search for a Set of Diverse Object Proposals,"Qing Sun, Dhruv Batra",https://proceedings.neurips.cc/paper/2015/hash/02a32ad2669e6fe298e607fe7cc0e1a0-Abstract.html
Robust Portfolio Optimization,"Huitong Qiu, Fang Han, Han Liu, Brian Caffo",https://proceedings.neurips.cc/paper/2015/hash/02e74f10e0327ad868d138f2b4fdd6f0-Abstract.html
Top-k Multiclass SVM,"Maksim Lapin, Matthias Hein, Bernt Schiele",https://proceedings.neurips.cc/paper/2015/hash/0336dcbab05b9d5ad24f4333c7658a0e-Abstract.html
Less is More: Nyström Computational Regularization,"Alessandro Rudi, Raffaello Camoriano, Lorenzo Rosasco",https://proceedings.neurips.cc/paper/2015/hash/03e0704b5690a2dee1861dc3ad3316c9-Abstract.html
Parallel Recursive Best-First AND/OR Search for Exact MAP Inference in Graphical Models,"Akihiro Kishimoto, Radu Marinescu, Adi Botea",https://proceedings.neurips.cc/paper/2015/hash/04ecb1fa28506ccb6f72b12c0245ddbc-Abstract.html
