Compositional Plan Vectors,"Coline Devin, Daniel Geng, Pieter Abbeel, Trevor Darrell, Sergey Levine",https://proceedings.neurips.cc/paper/2019/hash/00989c20ff1386dc386d8124ebcba1a5-Abstract.html
Learning to Propagate for Graph Meta-Learning,"LU LIU, Tianyi Zhou, Guodong Long, Jing Jiang, Chengqi Zhang",https://proceedings.neurips.cc/paper/2019/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
XNAS: Neural Architecture Search with Expert Advice,"Niv Nayman, Asaf Noy, Tal Ridnik, Itamar Friedman, Rong Jin, Lihi Zelnik",https://proceedings.neurips.cc/paper/2019/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html
Multi-resolution Multi-task Gaussian Processes,"Oliver Hamelijnck, Theodoros Damoulas, Kangrui Wang, Mark Girolami",https://proceedings.neurips.cc/paper/2019/hash/0118a063b4aae95277f0bc1752c75abf-Abstract.html
Deep Equilibrium Models,"Shaojie Bai, J. Zico Kolter, Vladlen Koltun",https://proceedings.neurips.cc/paper/2019/hash/01386bd6d8e091c2ab4c7c7de644d37b-Abstract.html
Cross Attention Network for Few-shot Classification,"Ruibing Hou, Hong Chang, Bingpeng MA, Shiguang Shan, Xilin Chen",https://proceedings.neurips.cc/paper/2019/hash/01894d6f048493d2cacde3c579c315a3-Abstract.html
Order Optimal One-Shot Distributed Learning,"Arsalan Sharifnassab, Saber Salehkaleybar, S. Jamaloddin Golestani",https://proceedings.neurips.cc/paper/2019/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html
Exact Gaussian Processes on a Million Data Points,"Ke Wang, Geoff Pleiss, Jacob Gardner, Stephen Tyree, Kilian Q. Weinberger, Andrew Gordon Wilson",https://proceedings.neurips.cc/paper/2019/hash/01ce84968c6969bdd5d51c5eeaa3946a-Abstract.html
Asymmetric Valleys: Beyond Sharp and Flat Local Minima,"Haowei He, Gao Huang, Yang Yuan",https://proceedings.neurips.cc/paper/2019/hash/01d8bae291b1e4724443375634ccfa0e-Abstract.html
Calculating Optimistic Likelihoods Using (Geodesically) Convex Optimization,"Viet Anh Nguyen, Soroosh Shafieezadeh Abadeh, Man-Chung Yue, Daniel Kuhn, Wolfram Wiesemann",https://proceedings.neurips.cc/paper/2019/hash/021e1ea77bd91aaa0fc4d01a943a654e-Abstract.html
"Think out of the ""Box"": Generically-Constrained Asynchronous Composite Optimization and Hedging","Pooria Joulani, András György, Csaba Szepesvari",https://proceedings.neurips.cc/paper/2019/hash/0224cd598e48c5041c7947fd5cb20d53-Abstract.html
Improved Precision and Recall Metric for Assessing Generative Models,"Tuomas Kynkäänniemi, Tero Karras, Samuli Laine, Jaakko Lehtinen, Timo Aila",https://proceedings.neurips.cc/paper/2019/hash/0234c510bc6d908b28c70ff313743079-Abstract.html
A Direct tilde{O}(1/epsilon) Iteration Parallel Algorithm for Optimal Transport,"Arun Jambulapati, Aaron Sidford, Kevin Tian",https://proceedings.neurips.cc/paper/2019/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html
Zero-Shot Semantic Segmentation,"Maxime Bucher, Tuan-Hung VU, Matthieu Cord, Patrick Pérez",https://proceedings.neurips.cc/paper/2019/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
Hyperspherical Prototype Networks,"Pascal Mettes, Elise van der Pol, Cees Snoek",https://proceedings.neurips.cc/paper/2019/hash/02a32ad2669e6fe298e607fe7cc0e1a0-Abstract.html
Lower Bounds on Adversarial Robustness from Optimal Transport,"Arjun Nitin Bhagoji, Daniel Cullina, Prateek Mittal",https://proceedings.neurips.cc/paper/2019/hash/02bf86214e264535e3412283e817deaa-Abstract.html
A Nonconvex Approach for Exact and Efficient Multichannel Sparse Blind Deconvolution,"Qing Qu, Xiao Li, Zhihui Zhu",https://proceedings.neurips.cc/paper/2019/hash/02e656adee09f8394b402d9958389b7d-Abstract.html
Generalization of Reinforcement Learners with Working and Episodic Memory,"Meire Fortunato, Melissa Tan, Ryan Faulkner, Steven Hansen, Adrià Puigdomènech Badia, Gavin Buttimore, Charles Deck, Joel Z. Leibo, Charles Blundell",https://proceedings.neurips.cc/paper/2019/hash/02ed812220b0705fabb868ddbf17ea20-Abstract.html
DTWNet: a Dynamic Time Warping Network,"Xingyu Cai, Tingyang Xu, Jinfeng Yi, Junzhou Huang, Sanguthevar Rajasekaran",https://proceedings.neurips.cc/paper/2019/hash/02f063c236c7eef66324b432b748d15d-Abstract.html
Learning Mean-Field Games,"Xin Guo, Anran Hu, Renyuan Xu, Junzi Zhang",https://proceedings.neurips.cc/paper/2019/hash/030e65da2b1c944090548d36b244b28d-Abstract.html
Learning Erdos-Renyi Random Graphs via Edge Detecting Queries,"Zihan Li, Matthias Fresacher, Jonathan Scarlett",https://proceedings.neurips.cc/paper/2019/hash/0336dcbab05b9d5ad24f4333c7658a0e-Abstract.html
Cormorant: Covariant Molecular Neural Networks,"Brandon Anderson, Truong Son Hy, Risi Kondor",https://proceedings.neurips.cc/paper/2019/hash/03573b32b2746e6e8ca98b9123f2249b-Abstract.html
Flattening a Hierarchical Clustering through Active Learning,"Fabio Vitale, Anand Rajagopalan, Claudio Gentile",https://proceedings.neurips.cc/paper/2019/hash/03793ef7d06ffd63d34ade9d091f1ced-Abstract.html
Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves,"Stefan Meintrup, Alexander Munteanu, Dennis Rohde",https://proceedings.neurips.cc/paper/2019/hash/0394ea68951e3299bcdfa75a097d7c11-Abstract.html
Explicit Explore-Exploit Algorithms in Continuous State Spaces,Mikael Henaff,https://proceedings.neurips.cc/paper/2019/hash/03b264c595403666634ac75d828439bc-Abstract.html
How degenerate is the parametrization of neural networks with the ReLU activation function?,"Dennis Maximilian Elbrächter, Julius Berner, Philipp Grohs",https://proceedings.neurips.cc/paper/2019/hash/04115ec378e476c56d19d827bcf8db56-Abstract.html
