Eliciting Categorical Data for Optimal Aggregation,"Chien-Ju Ho, Rafael Frongillo, Yiling Chen",https://proceedings.neurips.cc/paper/2016/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html
A Locally Adaptive Normal Distribution,"Georgios Arvanitidis, Lars K. Hansen, Søren Hauberg",https://proceedings.neurips.cc/paper/2016/hash/01931a6925d3de09e5f87419d9d55055-Abstract.html
Tagger: Deep Unsupervised Perceptual Grouping,"Klaus Greff, Antti Rasmus, Mathias Berglund, Tele Hao, Harri Valpola, Jürgen Schmidhuber",https://proceedings.neurips.cc/paper/2016/hash/01eee509ee2f68dc6014898c309e86bf-Abstract.html
Online Bayesian Moment Matching for Topic Modeling with Unknown Number of Topics,"Wei-Shou Hsu, Pascal Poupart",https://proceedings.neurips.cc/paper/2016/hash/0233f3bb964cf325a30f8b1c2ed2da93-Abstract.html
Conditional Generative Moment-Matching Networks,"Yong Ren, Jun Zhu, Jialian Li, Yucen Luo",https://proceedings.neurips.cc/paper/2016/hash/0245952ecff55018e2a459517fdb40e3-Abstract.html
Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks,"Hao Wang, Xingjian SHI, Dit-Yan Yeung",https://proceedings.neurips.cc/paper/2016/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
Bayesian Intermittent Demand Forecasting for Large Inventories,"Matthias W. Seeger, David Salinas, Valentin Flunkert",https://proceedings.neurips.cc/paper/2016/hash/03255088ed63354a54e0e5ed957e9008-Abstract.html
Visual Dynamics: Probabilistic Future Frame Synthesis via Cross Convolutional Networks,"Tianfan Xue, Jiajun Wu, Katherine Bouman, Bill Freeman",https://proceedings.neurips.cc/paper/2016/hash/03afdbd66e7929b125f8597834fa83a4-Abstract.html
Achieving budget-optimality with adaptive schemes in crowdsourcing,"Ashish Khetan, Sewoong Oh",https://proceedings.neurips.cc/paper/2016/hash/03e7ef47cee6fa4ae7567394b99912b7-Abstract.html
Stochastic Gradient Richardson-Romberg Markov Chain Monte Carlo,"Alain Durmus, Umut Simsekli, Eric Moulines, Roland Badeau, Gaël RICHARD",https://proceedings.neurips.cc/paper/2016/hash/03f544613917945245041ea1581df0c2-Abstract.html
Generating Videos with Scene Dynamics,"Carl Vondrick, Hamed Pirsiavash, Antonio Torralba",https://proceedings.neurips.cc/paper/2016/hash/04025959b191f8f9de3f924f0940515f-Abstract.html
Approximate maximum entropy principles via Goemans-Williamson with applications to provable variational methods,"Andrej Risteski, Yuanzhi Li",https://proceedings.neurips.cc/paper/2016/hash/046ddf96c233a273fd390c3d0b1a9aa4-Abstract.html
Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,"Michaël Defferrard, Xavier Bresson, Pierre Vandergheynst",https://proceedings.neurips.cc/paper/2016/hash/04df4d434d481c5bb723be1b6df1ee65-Abstract.html
Fast Distributed Submodular Cover: Public-Private Data Summarization,"Baharan Mirzasoleiman, Morteza Zadimoghaddam, Amin Karbasi",https://proceedings.neurips.cc/paper/2016/hash/052335232b11864986bb2fa20fa38748-Abstract.html
Exponential Family Embeddings,"Maja Rudolph, Francisco Ruiz, Stephan Mandt, David Blei",https://proceedings.neurips.cc/paper/2016/hash/06138bc5af6023646ede0e1f7c1eac75-Abstract.html
A Non-parametric Learning Method for Confidently Estimating Patient's Clinical State and Dynamics,"William Hoiles, Mihaela van der Schaar",https://proceedings.neurips.cc/paper/2016/hash/062ddb6c727310e76b6200b7c71f63b5-Abstract.html
Integrated perception with recurrent multi-task neural networks,"Hakan Bilen, Andrea Vedaldi",https://proceedings.neurips.cc/paper/2016/hash/06409663226af2f3114485aa4e0a23b4-Abstract.html
Dialog-based Language Learning,Jason E. Weston,https://proceedings.neurips.cc/paper/2016/hash/07563a3fe3bbe7e3ba84431ad9d055af-Abstract.html
A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,"Yarin Gal, Zoubin Ghahramani",https://proceedings.neurips.cc/paper/2016/hash/076a0c97d09cf1a0ec3e19c7f2529f2b-Abstract.html
Automatic Neuron Detection in Calcium Imaging Data Using Convolutional Networks,"Noah Apthorpe, Alexander Riordan, Robert Aguilar, Jan Homann, Yi Gu, David Tank, H. Sebastian Seung",https://proceedings.neurips.cc/paper/2016/hash/0771fc6f0f4b1d7d1bb73bbbe14e0e31-Abstract.html
Convolutional Neural Fabrics,"Shreyas Saxena, Jakob Verbeek",https://proceedings.neurips.cc/paper/2016/hash/07811dc6c422334ce36a09ff5cd6fe71-Abstract.html
Budgeted stream-based active learning via adaptive submodular maximization,"Kaito Fujii, Hisashi Kashima",https://proceedings.neurips.cc/paper/2016/hash/07cdfd23373b17c6b337251c22b7ea57-Abstract.html
An equivalence between high dimensional Bayes optimal inference and M-estimation,"Madhu Advani, Surya Ganguli",https://proceedings.neurips.cc/paper/2016/hash/08e6bea8e90ba87af3c9554d94db6579-Abstract.html
A Sparse Interactive Model for Matrix Completion with Side Information,"Jin Lu, Guannan Liang, Jiangwen Sun, Jinbo Bi",https://proceedings.neurips.cc/paper/2016/hash/093b60fd0557804c8ba0cbf1453da22f-Abstract.html
Bi-Objective Online Matching and Submodular  Allocations,"Hossein Esfandiari, Nitish Korula, Vahab Mirrokni",https://proceedings.neurips.cc/paper/2016/hash/0966289037ad9846c5e994be2a91bafa-Abstract.html
Interpretable Distribution Features with Maximum Testing Power,"Wittawat Jitkrittum, Zoltán Szabó, Kacper P. Chwialkowski, Arthur Gretton",https://proceedings.neurips.cc/paper/2016/hash/0a09c8844ba8f0936c20bd791130d6b6-Abstract.html
Finding significant combinations of features in the presence of categorical covariates,"Laetitia Papaxanthos, Felipe Llinares-López, Dean Bodenham, Karsten Borgwardt",https://proceedings.neurips.cc/paper/2016/hash/0a0a0c8aaa00ade50f74a3f0ca981ed7-Abstract.html
A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,"Ming Lin, Jieping Ye",https://proceedings.neurips.cc/paper/2016/hash/0a113ef6b61820daa5611c870ed8d5ee-Abstract.html
Avoiding Imposters and Delinquents: Adversarial Crowdsourcing and Peer Prediction,"Jacob Steinhardt, Gregory Valiant, Moses Charikar",https://proceedings.neurips.cc/paper/2016/hash/0a87257e5308197df43230edf4ad1dae-Abstract.html
"Threshold Bandits, With and Without Censored Feedback","Jacob D. Abernethy, Kareem Amin, Ruihao Zhu",https://proceedings.neurips.cc/paper/2016/hash/0bf727e907c5fc9d5356f11e4c45d613-Abstract.html
