Inferring neural population dynamics from multiple partial recordings of the same neural circuit,"Srini Turaga, Lars Buesing, Adam M. Packer, Henry Dalgleish, Noah Pettit, Michael Hausser, Jakob H. Macke",https://proceedings.neurips.cc/paper/2013/hash/01386bd6d8e091c2ab4c7c7de644d37b-Abstract.html
Approximate Gaussian process inference for the drift function in stochastic differential equations,"Andreas Ruttor, Philipp Batz, Manfred Opper",https://proceedings.neurips.cc/paper/2013/hash/021bbc7ee20b71134d53e20206bd6feb-Abstract.html
"Third-Order Edge Statistics: Contour Continuation, Curvature, and Cortical Connections","Matthew Lawlor, Steven W. Zucker",https://proceedings.neurips.cc/paper/2013/hash/024d7f84fff11dd7e8d9c510137a2381-Abstract.html
Transportability from Multiple Environments with Limited Experiments,"Elias Bareinboim, Sanghack Lee, Vasant Honavar, Judea Pearl",https://proceedings.neurips.cc/paper/2013/hash/02522a2b2726fb0a03bb19f2d8d9524d-Abstract.html
On model selection consistency of penalized M-estimators: a geometric theory,"Jason D. Lee, Yuekai Sun, Jonathan E. Taylor",https://proceedings.neurips.cc/paper/2013/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
Robust Bloom Filters for Large MultiLabel Classification Tasks,"Moustapha M. Cisse, Nicolas Usunier, Thierry Artières, Patrick Gallinari",https://proceedings.neurips.cc/paper/2013/hash/043c3d7e489c69b48737cc0c92d0f3a2-Abstract.html
"On the Relationship Between Binary Classification, Bipartite Ranking, and Binary Class Probability Estimation","Harikrishna Narasimhan, Shivani Agarwal",https://proceedings.neurips.cc/paper/2013/hash/05311655a15b75fab86956663e1819cd-Abstract.html
Sequential Transfer in Multi-armed Bandit with Finite Set of Models,"Mohammad Gheshlaghi azar, Alessandro Lazaric, Emma Brunskill",https://proceedings.neurips.cc/paper/2013/hash/062ddb6c727310e76b6200b7c71f63b5-Abstract.html
A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles,"Jinwoo Shin, Andrew E. Gelfand, Misha Chertkov",https://proceedings.neurips.cc/paper/2013/hash/0768281a05da9f27df178b5c39a51263-Abstract.html
A Kernel Test for Three-Variable Interactions,"Dino Sejdinovic, Arthur Gretton, Wicher Bergsma",https://proceedings.neurips.cc/paper/2013/hash/076a0c97d09cf1a0ec3e19c7f2529f2b-Abstract.html
