Synthesized Policies for Transfer and Adaptation across Tasks and Environments,"Hexiang Hu, Liyu Chen, Boqing Gong, Fei Sha",https://proceedings.neurips.cc/paper/2018/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
Self-Supervised Generation of Spatial Audio for 360° Video,"Pedro Morgado, Nuno Nvasconcelos, Timothy Langlois, Oliver Wang",https://proceedings.neurips.cc/paper/2018/hash/01161aaa0b6d1345dd8fe4e481144d84-Abstract.html
On GANs and GMMs,"Eitan Richardson, Yair Weiss",https://proceedings.neurips.cc/paper/2018/hash/0172d289da48c48de8c5ebf3de9f7ee1-Abstract.html
Batch-Instance Normalization for Adaptively Style-Invariant Neural Networks,"Hyeonseob Nam, Hyo-Eun Kim",https://proceedings.neurips.cc/paper/2018/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html
Hierarchical Reinforcement Learning for Zero-shot Generalization with Subtask Dependencies,"Sungryull Sohn, Junhyuk Oh, Honglak Lee",https://proceedings.neurips.cc/paper/2018/hash/018dd1e07a2de4a08e6612341bf2323e-Abstract.html
KDGAN: Knowledge Distillation with Generative Adversarial Networks,"Xiaojie Wang, Rui Zhang, Yu Sun, Jianzhong Qi",https://proceedings.neurips.cc/paper/2018/hash/019d385eb67632a7e958e23f24bd07d7-Abstract.html
Contour location via entropy reduction leveraging multiple information sources,"Alexandre Marques, Remi Lam, Karen Willcox",https://proceedings.neurips.cc/paper/2018/hash/01a0683665f38d8e5e567b3b15ca98bf-Abstract.html
Contextual bandits with surrogate losses: Margin bounds and efficient algorithms,"Dylan J. Foster, Akshay Krishnamurthy",https://proceedings.neurips.cc/paper/2018/hash/01e9565cecc4e989123f9620c1d09c09-Abstract.html
Adaptive Sampling Towards Fast Graph Representation Learning,"Wenbing Huang, Tong Zhang, Yu Rong, Junzhou Huang",https://proceedings.neurips.cc/paper/2018/hash/01eee509ee2f68dc6014898c309e86bf-Abstract.html
Analytic solution and stationary phase approximation for the Bayesian lasso and elastic net,Tom Michoel,https://proceedings.neurips.cc/paper/2018/hash/0245952ecff55018e2a459517fdb40e3-Abstract.html
Identification and Estimation of Causal Effects from Dependent Data,"Eli Sherman, Ilya Shpitser",https://proceedings.neurips.cc/paper/2018/hash/024677efb8e4aee2eaeef17b54695bbe-Abstract.html
Streamlining Variational Inference for Constraint Satisfaction Problems,"Aditya Grover, Tudor Achim, Stefano Ermon",https://proceedings.neurips.cc/paper/2018/hash/02ed812220b0705fabb868ddbf17ea20-Abstract.html
A Spectral View of Adversarially Robust Features,"Shivam Garg, Vatsal Sharan, Brian Zhang, Gregory Valiant",https://proceedings.neurips.cc/paper/2018/hash/033cc385728c51d97360020ed57776f0-Abstract.html
Dimensionality Reduction has Quantifiable Imperfections: Two Geometric Bounds,"Kry Lui, Gavin Weiguang Ding, Ruitong Huang, Robert McCann",https://proceedings.neurips.cc/paper/2018/hash/037a595e6f4f0576a9efe43154d71c18-Abstract.html
